,equity
2022-05-24,76619.57848808661
2022-05-25,77013.0383508923
2022-05-26,77823.26006370601
2022-05-27,76962.25792648224
2022-05-30,75219.2000388779
2022-05-31,72368.1522590688
2022-06-01,71778.03949365365
2022-06-02,70801.65833697315
2022-06-03,70491.3843334887
2022-06-06,70461.06184756449
2022-06-07,70213.72154210371
2022-06-08,71784.688587148
2022-06-09,71301.66690643897
2022-06-10,69853.25576009146
2022-06-13,70104.07407692107
2022-06-14,67623.27633786586
2022-06-15,67811.66583405236
2022-06-16,67879.76333394305
2022-06-17,67740.77379750556
2022-06-20,70093.77397212331
2022-06-21,69657.51025578749
2022-06-22,72821.56237015578
2022-06-23,72622.40354478578
2022-06-24,70479.88200119659
2022-06-27,70472.54820095644
2022-06-28,68699.912692001
2022-06-29,68189.40681070078
2022-06-30,68705.87740032062
2022-07-01,68998.79765931162
2022-07-04,67947.8749299781
2022-07-05,68505.75754721148
2022-07-06,70228.82515038853
2022-07-07,71086.41784613335
2022-07-08,71851.71224611222
2022-07-11,72683.41619363669
2022-07-12,69538.1485503903
2022-07-13,69288.58871544813
2022-07-14,67867.69902103225
2022-07-15,67890.66010372454
2022-07-18,66938.21536357024
2022-07-19,66789.80100158117
2022-07-20,69566.09388813202
2022-07-21,69410.57806464387
2022-07-22,69964.98480928499
2022-07-25,69768.58381236161
2022-07-26,69796.4323784291
2022-07-27,69749.07990628076
2022-07-28,70362.30235246281
2022-07-29,71050.57605311443
2022-08-01,73649.569208697
2022-08-02,73825.34768425702
2022-08-03,74187.7673357534
2022-08-04,73403.00874822478
2022-08-05,73308.72985708975
2022-08-08,73557.56635568613
2022-08-09,73789.55966519969
2022-08-10,73837.76518281215
2022-08-11,74080.06251907002
2022-08-12,74203.27905622663
2022-08-15,74860.88073974013
2022-08-16,75003.18999249455
2022-08-17,74774.7188417254
2022-08-18,74943.36401113852
2022-08-19,73279.74390089935
2022-08-22,73458.6641770924
2022-08-23,72469.989871261
2022-08-24,72020.85227576061
2022-08-25,72123.76809476117
2022-08-26,72234.0310541139
2022-08-29,71895.99474482771
2022-08-30,71895.99474482771
2022-08-31,71895.99474482771
2022-09-01,71895.99474482771
2022-09-02,71895.99474482771
2022-09-05,71895.99474482771
2022-09-06,71895.99474482771
2022-09-07,71895.99474482771
2022-09-08,71895.99474482771
2022-09-09,71895.99474482771
2022-09-12,71895.99474482771
2022-09-13,71895.99474482771
2022-09-14,71895.99474482771
2022-09-15,71895.99474482771
2022-09-16,71895.99474482771
2022-09-19,71895.99474482771
2022-09-20,71895.99474482771
2022-09-21,71895.99474482771
2022-09-22,71895.99474482771
2022-09-23,71895.99474482771
2022-09-26,71895.99474482771
2022-09-27,71895.99474482771
2022-09-28,71895.99474482771
2022-09-29,71895.99474482771
2022-09-30,71895.99474482771
2022-10-03,71895.99474482771
2022-10-04,71895.99474482771
2022-10-05,71895.99474482771
2022-10-06,71895.99474482771
2022-10-07,71895.99474482771
2022-10-10,71895.99474482771
2022-10-11,71895.99474482771
2022-10-12,71895.99474482771
2022-10-13,71895.99474482771
2022-10-14,71895.99474482771
2022-10-17,71895.99474482771
2022-10-18,71895.99474482771
2022-10-19,71895.99474482771
2022-10-20,71895.99474482771
2022-10-21,71895.99474482771
2022-10-24,71895.99474482771
2022-10-25,71895.99474482771
2022-10-26,71895.99474482771
2022-10-27,71895.99474482771
2022-10-28,71895.99474482771
2022-10-31,71895.99474482771
2022-11-01,71895.99474482771
2022-11-02,71895.99474482771
2022-11-03,71895.99474482771
2022-11-04,71895.99474482771
2022-11-07,71895.99474482771
2022-11-08,71861.85587874668
2022-11-09,72149.68792223217
2022-11-10,72653.68604009527
2022-11-11,72460.4764724584
2022-11-14,72740.42492096327
2022-11-15,72872.67458239236
2022-11-16,71951.5032636474
2022-11-17,73215.545275488
2022-11-18,72890.4777656439
2022-11-21,71628.88329987146
2022-11-22,70872.74833245836
2022-11-23,70142.35003321467
2022-11-24,70267.21232364888
2022-11-25,70133.06454164998
2022-11-28,69949.23071918654
2022-11-29,70525.19977401328
2022-11-30,70880.72757889082
2022-12-01,71218.59227752718
2022-12-02,71633.54261183989
2022-12-05,72218.18286116503
2022-12-06,70604.0965455922
2022-12-07,70397.24640800597
2022-12-08,68760.85994267357
2022-12-09,68871.06955345729
2022-12-12,68949.57320774494
2022-12-13,69854.89991620879
2022-12-14,70883.85441822321
2022-12-15,71130.69949718776
2022-12-16,70813.72079072228
2022-12-19,71287.2956442903
